account,age,job,marital,education,balance,cc
1057,57,management,married,secondary,82,no
1058,33,self-employed,single,tertiary,2155,no
1059,36,retired,single,secondary,101,no
1060,54,technician,divorced,secondary,784,no
1061,41,blue-collar,married,primary,516,no
1062,63,retired,married,secondary,415,no
1063,48,management,married,tertiary,5887,no
1064,48,services,married,secondary,1355,no
1065,56,admin.,married,secondary,16873,no
1066,51,blue-collar,divorced,secondary,203,no
1067,31,services,married,secondary,338,no
1068,29,technician,married,secondary,444,no
1069,41,management,married,secondary,0,no
1070,32,technician,single,tertiary,360,no
1071,37,management,married,tertiary,0,no
1072,42,entrepreneur,divorced,tertiary,2,no
1073,31,management,single,tertiary,6248,no
1074,41,services,married,tertiary,412,no
1075,56,retired,married,secondary,344,no
1076,54,management,divorced,tertiary,3222,no
1077,41,blue-collar,divorced,secondary,174,no
1078,40,technician,single,secondary,591,no
1079,50,blue-collar,divorced,primary,388,no
1080,40,unemployed,married,secondary,219,no
1081,27,admin.,divorced,secondary,451,no
1082,60,retired,married,primary,5,no
1083,28,admin.,single,secondary,177,no
1084,52,services,married,secondary,657,no
1085,37,management,married,tertiary,1315,no
1086,51,blue-collar,married,primary,1466,no
1087,41,technician,single,secondary,879,no
1088,35,blue-collar,single,primary,293,no
1089,38,admin.,married,secondary,424,no
1090,34,blue-collar,married,secondary,1831,no
1091,39,blue-collar,married,primary,111,no
1092,34,blue-collar,married,primary,455,no
1093,27,services,single,secondary,195,no
1094,32,management,single,tertiary,3616,no
1095,57,blue-collar,married,secondary,14093,no
1096,41,unknown,single,tertiary,1567,no
1097,41,admin.,married,tertiary,5426,no
1098,30,admin.,single,tertiary,261,no
1099,36,blue-collar,divorced,secondary,2843,no
1100,31,unemployed,single,primary,406,no
1101,36,blue-collar,married,secondary,0,no
1102,38,management,single,tertiary,493,no
1103,49,technician,married,secondary,5996,no
1104,57,services,single,primary,3777,no
1105,34,management,single,secondary,524,no
1106,32,management,single,tertiary,574,no
1107,37,blue-collar,married,secondary,427,no
1108,33,self-employed,married,tertiary,483,no
1109,56,unemployed,married,primary,3391,no
1110,27,housemaid,married,primary,0,no
1111,21,student,single,secondary,2488,no
1112,58,management,married,tertiary,1517,no
1113,32,self-employed,married,secondary,217,no
1114,33,blue-collar,single,secondary,22,no
1115,25,student,single,secondary,331,no
1116,25,technician,single,secondary,505,no
1117,30,services,married,secondary,1808,no
1118,22,admin.,single,secondary,4111,no
1119,39,blue-collar,married,primary,52,no
1120,46,management,divorced,tertiary,25,no
1121,31,admin.,divorced,secondary,1890,no
1122,45,blue-collar,married,primary,419,no
1123,32,technician,married,secondary,2693,no
1124,36,blue-collar,married,secondary,231,no
1125,51,management,single,tertiary,55,no
1126,34,self-employed,single,tertiary,462,no
1127,24,unemployed,single,secondary,119,no
1128,45,technician,single,secondary,586,no
1129,32,blue-collar,single,secondary,228,no
1130,77,retired,divorced,tertiary,4659,no
1131,41,blue-collar,married,primary,168,no
1132,37,blue-collar,married,primary,0,no
1133,43,blue-collar,married,unknown,715,no
1134,48,admin.,married,unknown,0,no
1135,27,technician,single,secondary,769,no
1136,33,management,single,tertiary,0,no
1137,29,admin.,single,secondary,428,no
1138,34,management,single,tertiary,0,no
1139,52,management,married,tertiary,970,no
1140,60,management,married,unknown,6313,no
1141,32,management,divorced,tertiary,948,no
1142,32,management,single,tertiary,0,no
1143,56,services,divorced,unknown,1877,no
1144,31,management,single,tertiary,874,no
1145,42,admin.,married,secondary,323,no
1146,35,management,married,tertiary,106,no
1147,56,retired,married,primary,1906,no
1148,48,technician,married,secondary,1152,no
1149,46,admin.,married,secondary,179,no
1150,37,technician,single,unknown,391,no
1151,41,entrepreneur,married,unknown,89,no
1152,36,management,single,tertiary,442,no
1153,45,unemployed,divorced,primary,249,no
1154,55,entrepreneur,married,secondary,8104,no
1155,39,technician,married,secondary,501,no
1156,35,technician,divorced,secondary,308,no
1157,55,admin.,married,secondary,602,no
1158,55,technician,married,secondary,273,no
1159,27,self-employed,single,secondary,50,no
1160,34,technician,married,secondary,1641,no
1161,34,blue-collar,married,tertiary,20,no
1162,25,admin.,single,secondary,4590,no
1163,41,admin.,single,secondary,256,no
1164,43,services,married,secondary,978,no
1165,28,management,single,tertiary,80,no
1166,31,admin.,single,secondary,2104,no
1167,78,housemaid,married,secondary,499,no
1168,45,blue-collar,divorced,secondary,1269,no
1169,48,technician,married,tertiary,310,no
1170,32,blue-collar,single,secondary,1143,no
1171,42,technician,married,secondary,2980,no
1172,37,management,single,tertiary,37,no
1173,40,admin.,single,secondary,462,no
1174,32,admin.,married,secondary,1031,no
1175,42,management,married,tertiary,9009,no
1176,43,admin.,married,secondary,465,no
1177,44,admin.,married,secondary,5181,no
1178,37,admin.,married,secondary,176,no
1179,37,unknown,married,unknown,1699,no
1180,37,admin.,married,tertiary,0,no
1181,28,technician,single,tertiary,172,no
1182,32,services,single,secondary,0,no
1183,34,admin.,single,secondary,6979,no
1184,40,admin.,divorced,secondary,6,no
1185,34,services,married,secondary,62,no
1186,34,self-employed,married,tertiary,1972,no
1187,34,admin.,married,tertiary,899,no
1188,37,services,single,secondary,21,no
1189,36,technician,married,secondary,23,no
1190,56,retired,married,secondary,1206,no
1191,49,blue-collar,married,primary,0,no
1192,33,self-employed,married,secondary,215,no
1193,30,management,single,tertiary,1372,no
1194,36,services,married,secondary,1981,no
1195,23,student,single,secondary,9216,no
1196,57,retired,divorced,secondary,39,no
1197,27,blue-collar,single,secondary,5563,no
1198,38,services,married,secondary,1,no
1199,42,technician,married,tertiary,782,no
1200,75,retired,married,secondary,3771,no
1201,34,technician,single,tertiary,992,no
1202,48,technician,married,secondary,1526,no
1203,35,technician,single,tertiary,2658,no
1204,39,management,divorced,tertiary,1315,no
1205,29,blue-collar,single,tertiary,455,no
1206,45,technician,single,tertiary,0,no
1207,42,technician,married,secondary,2030,no
1208,29,technician,married,secondary,1599,no
1209,38,services,single,secondary,196,no
1210,56,retired,married,secondary,1333,no
1211,36,technician,single,secondary,9149,no
1212,25,blue-collar,single,secondary,350,no
1213,38,technician,married,tertiary,432,no
1214,57,self-employed,married,secondary,11494,no
1215,31,management,married,tertiary,253,no
1216,42,management,married,tertiary,372,no
1217,45,technician,married,secondary,1410,no
1218,30,blue-collar,married,secondary,975,no
1219,49,blue-collar,married,primary,305,no
1220,49,services,married,secondary,400,no
1221,53,retired,married,tertiary,22,no
1222,37,technician,married,secondary,4030,no
1223,49,blue-collar,married,primary,365,no
1224,41,self-employed,married,primary,204,no
1225,54,management,married,primary,1691,no
1226,32,services,single,secondary,406,no
1227,33,technician,married,secondary,204,no
1228,33,technician,married,secondary,359,no
1229,36,blue-collar,married,primary,123,no
1230,35,technician,married,tertiary,0,no
1231,52,unknown,married,secondary,142,no
1232,40,entrepreneur,married,tertiary,3571,no
1233,44,technician,single,secondary,33,no
1234,45,blue-collar,single,secondary,0,no
1235,30,student,single,secondary,3096,no
1236,48,technician,divorced,secondary,20,no
1237,33,blue-collar,married,secondary,3576,no
1238,57,technician,married,unknown,206,no
1239,57,housemaid,married,primary,7082,no
1240,51,unemployed,married,tertiary,1634,no
1241,34,admin.,single,secondary,1,no
1242,50,self-employed,married,tertiary,4012,no
1243,44,management,married,tertiary,3762,no
1244,27,admin.,married,secondary,247,no
1245,50,blue-collar,married,secondary,606,no
1246,36,management,married,tertiary,0,no
1247,42,management,married,secondary,189,no
1248,32,unemployed,single,secondary,0,no
1249,42,management,married,tertiary,484,no
1250,43,technician,married,secondary,0,no
1251,31,management,married,tertiary,395,no
1252,32,management,married,tertiary,2349,no
1253,55,blue-collar,divorced,primary,410,no
1254,58,retired,married,primary,3401,no
1255,46,blue-collar,married,primary,222,no
1256,55,blue-collar,married,secondary,989,no
1257,34,management,married,tertiary,415,no
1258,28,unemployed,single,secondary,16,no
1259,42,technician,divorced,tertiary,7190,no
1260,29,blue-collar,single,secondary,482,no
1261,54,housemaid,married,secondary,209,no
1262,32,technician,single,secondary,0,no
1263,39,technician,single,tertiary,5803,no
1264,53,entrepreneur,married,tertiary,624,no
1265,58,technician,married,tertiary,883,no
1266,40,self-employed,married,secondary,1516,no
1267,29,student,single,secondary,872,no
1268,33,technician,married,tertiary,988,no
1269,38,admin.,single,secondary,902,no
1270,56,services,divorced,secondary,1007,no
1271,40,services,married,secondary,0,no
1272,24,blue-collar,single,secondary,174,no
1273,46,management,married,secondary,12186,no
1274,35,self-employed,married,secondary,524,no
1275,35,blue-collar,single,tertiary,0,no
1276,34,technician,married,secondary,4,no
1277,35,housemaid,married,tertiary,11219,no
1278,38,technician,single,tertiary,0,no
1279,50,blue-collar,married,primary,5776,no
1280,51,blue-collar,divorced,primary,37,no
1281,59,self-employed,married,tertiary,593,no
1282,32,blue-collar,married,secondary,1148,no
1283,37,blue-collar,single,secondary,3561,no
1284,42,admin.,divorced,secondary,63,no
1285,40,student,married,secondary,260,no
1286,28,technician,single,tertiary,2269,no
1287,47,admin.,married,secondary,1060,no
1288,27,self-employed,married,secondary,220,no
1289,41,management,married,tertiary,49,no
1290,34,admin.,married,tertiary,69,no
1291,50,blue-collar,married,primary,4108,no
1292,47,blue-collar,married,secondary,480,no
1293,53,services,married,secondary,4994,no
1294,53,technician,divorced,secondary,0,no
1295,47,management,married,tertiary,3681,no
1296,49,entrepreneur,divorced,unknown,701,no
1297,29,management,married,tertiary,451,no
1298,45,blue-collar,divorced,primary,311,no
1299,38,entrepreneur,married,secondary,593,no
1300,32,blue-collar,married,secondary,759,no
1301,70,retired,divorced,primary,4531,no
1302,65,retired,divorced,primary,1840,no
1303,56,blue-collar,married,secondary,345,no
1304,35,blue-collar,married,secondary,1287,no
1305,56,management,married,unknown,353,no
1306,56,technician,married,secondary,205,no
1307,49,entrepreneur,married,secondary,687,no
1308,38,unemployed,married,primary,1147,no
1309,35,management,married,tertiary,4286,no
1310,38,admin.,married,tertiary,605,no
1311,49,blue-collar,married,secondary,8545,no
1312,55,management,married,unknown,559,no
1313,43,blue-collar,single,primary,2,no
1314,43,management,married,tertiary,2,no
1315,25,admin.,single,tertiary,760,no
1316,30,blue-collar,married,primary,1317,no
1317,46,blue-collar,married,secondary,182,no
1318,50,admin.,married,primary,276,no
1319,35,entrepreneur,married,secondary,2971,no
1320,26,unemployed,single,secondary,1064,no
1321,45,admin.,married,unknown,1783,no
1322,37,blue-collar,married,secondary,67,no
1323,60,self-employed,single,tertiary,179,no
1324,38,management,married,tertiary,1199,no
1325,47,blue-collar,married,primary,214,no
1326,33,technician,married,secondary,6699,no
1327,51,unemployed,married,secondary,1760,no
1328,35,entrepreneur,single,tertiary,145,no
1329,35,unemployed,married,secondary,978,no
1330,48,admin.,single,secondary,1150,no
1331,37,admin.,married,secondary,121,no
1332,29,technician,single,tertiary,828,no
1333,34,admin.,married,secondary,244,no
1334,32,services,married,primary,228,no
1335,30,management,single,tertiary,424,no
1336,47,management,divorced,tertiary,447,no
1337,33,blue-collar,married,primary,195,no
1338,33,management,single,tertiary,1410,no
1339,63,retired,married,primary,1084,no
1340,51,self-employed,divorced,primary,10924,no
1341,41,management,married,tertiary,832,no
1342,56,retired,married,tertiary,478,no
1343,60,management,single,tertiary,0,no
1344,41,self-employed,single,tertiary,3950,no
1345,37,management,single,unknown,504,no
1346,36,blue-collar,single,secondary,219,no
1347,57,management,married,tertiary,1602,no
1348,55,management,married,primary,2587,no
1349,44,admin.,married,secondary,0,no
1350,47,self-employed,married,tertiary,2303,no
1351,31,blue-collar,married,secondary,1660,no
1352,35,management,married,tertiary,32,no
1353,39,management,married,tertiary,278,no
1354,50,management,married,tertiary,4,no
1355,29,management,married,tertiary,318,no
1356,30,services,single,secondary,209,no
1357,46,services,married,secondary,271,no
1358,27,management,single,unknown,3196,no
1359,48,admin.,divorced,secondary,4099,no
1360,26,student,single,secondary,2572,no
1361,36,management,single,tertiary,339,no
1362,42,blue-collar,married,primary,0,no
1363,50,housemaid,married,primary,395,no
1364,49,blue-collar,married,secondary,2039,no
1365,45,management,married,tertiary,5450,no
1366,23,student,single,secondary,780,no
1367,38,technician,single,secondary,0,no
1368,32,management,single,tertiary,8436,no
1369,60,technician,single,primary,11262,no
1370,30,entrepreneur,married,secondary,946,no
1371,58,housemaid,married,tertiary,497,no
1372,60,retired,married,primary,55,no
1373,38,services,married,secondary,140,no
1374,51,technician,married,secondary,379,no
1375,42,admin.,married,secondary,396,no
1376,30,services,single,secondary,0,no
1377,40,management,married,primary,733,no
1378,37,management,married,tertiary,393,no
1379,53,technician,divorced,primary,7290,no
1380,27,services,single,secondary,468,no
1381,39,blue-collar,married,secondary,0,no
1382,39,blue-collar,married,primary,3705,no
1383,59,retired,married,tertiary,9676,no
1384,37,services,married,secondary,1328,no
1385,41,blue-collar,married,primary,8,no
1386,45,blue-collar,married,primary,61,no
1387,48,management,married,tertiary,6613,no
1388,48,technician,married,secondary,302,no
1389,32,blue-collar,married,secondary,1005,no
1390,35,services,married,secondary,109,no
1391,33,management,single,tertiary,1240,no
1392,28,blue-collar,single,primary,0,no
1393,64,retired,married,unknown,2923,no
1394,35,technician,married,secondary,0,no
1395,33,blue-collar,married,secondary,43,no
1396,41,technician,married,secondary,288,no
1397,34,admin.,married,secondary,613,no
1398,37,technician,single,tertiary,6101,no
1399,38,blue-collar,married,primary,168,no
1400,39,blue-collar,married,primary,7685,no
1401,35,technician,divorced,tertiary,4515,no
1402,28,blue-collar,single,secondary,517,no
1403,27,blue-collar,single,secondary,148,no
1404,48,retired,married,primary,285,no
1405,50,blue-collar,married,secondary,887,no
1406,45,self-employed,married,secondary,3098,no
1407,41,technician,married,tertiary,744,no
1408,39,technician,married,secondary,130,no
1409,44,management,married,secondary,438,no
1410,54,admin.,married,secondary,0,no
1411,49,management,married,tertiary,322,no
1412,34,blue-collar,single,secondary,186,no
1413,75,retired,divorced,tertiary,3810,no
1414,42,management,married,tertiary,0,no
1415,53,blue-collar,married,secondary,4380,no
1416,49,management,divorced,tertiary,755,no
1417,31,services,single,secondary,2070,no
1418,45,blue-collar,single,primary,999,no
1419,39,self-employed,married,secondary,167,no
1420,46,technician,married,secondary,1322,no
1421,42,admin.,divorced,secondary,1076,no
1422,37,management,married,tertiary,502,no
1423,26,technician,single,tertiary,1216,no
1424,37,management,single,tertiary,876,no
1425,36,services,single,secondary,342,no
1426,29,blue-collar,single,primary,950,no
1427,36,blue-collar,married,primary,973,no
1428,26,technician,married,tertiary,3825,no
1429,32,blue-collar,married,secondary,2366,no
1430,40,management,married,tertiary,542,no
1431,53,management,married,primary,995,no
1432,29,management,married,tertiary,20,no
1433,34,technician,single,tertiary,228,no
1434,43,blue-collar,married,secondary,130,no
1435,56,management,married,tertiary,217,no
1436,55,entrepreneur,divorced,tertiary,0,no
1437,31,self-employed,married,tertiary,259,no
1438,27,admin.,single,secondary,619,no
1439,36,management,married,secondary,644,no
1440,44,management,married,tertiary,22,no
1441,37,admin.,divorced,tertiary,4303,no
1442,30,admin.,single,secondary,239,no
1443,42,technician,single,secondary,275,no
1444,30,management,married,tertiary,1221,no
1445,62,retired,married,secondary,816,no
1446,24,blue-collar,married,secondary,1222,no
1447,31,technician,married,secondary,2363,no
1448,66,retired,married,tertiary,2262,no
1449,47,admin.,married,secondary,2,no
1450,39,entrepreneur,married,tertiary,2,no
1451,35,technician,married,secondary,4508,no
1452,35,admin.,divorced,secondary,402,no
1453,27,technician,married,secondary,1577,no
1454,32,blue-collar,married,secondary,34,no
1455,44,management,married,tertiary,795,no
1456,42,blue-collar,married,secondary,117,no
1457,34,self-employed,single,tertiary,5462,no
1458,25,services,single,secondary,402,no
1459,40,technician,single,secondary,641,no
1460,43,management,divorced,tertiary,36,no
1461,55,unemployed,married,tertiary,383,no
1462,50,blue-collar,married,secondary,283,no
1463,45,management,divorced,tertiary,0,no
1464,35,blue-collar,divorced,secondary,3102,no
1465,32,blue-collar,married,secondary,889,no
1466,59,housemaid,married,secondary,0,no
1467,34,self-employed,married,secondary,370,no
1468,39,management,married,tertiary,606,no
1469,40,management,single,secondary,10378,no
1470,36,blue-collar,single,primary,1313,no
1471,40,management,married,tertiary,8969,no
1472,55,self-employed,married,secondary,196,no
1473,38,entrepreneur,married,secondary,15,no
1474,61,admin.,married,secondary,4608,no
1475,41,management,married,tertiary,666,no
1476,57,blue-collar,married,primary,452,no
1477,48,blue-collar,married,secondary,149,no
1478,77,retired,married,tertiary,7802,no
1479,35,services,married,secondary,1453,no
1480,54,blue-collar,married,secondary,1480,no
1481,37,management,single,unknown,715,no
1482,56,management,single,secondary,237,no
1483,40,technician,married,secondary,694,no
1484,40,management,married,tertiary,0,no
1485,54,management,married,tertiary,55,no
1486,55,housemaid,married,primary,136,no
1487,55,services,divorced,secondary,404,no
1488,52,blue-collar,married,primary,779,no
1489,55,blue-collar,single,primary,1187,no
1490,33,management,married,tertiary,641,no
1491,52,blue-collar,married,unknown,826,no
1492,33,services,divorced,secondary,991,no
1493,53,admin.,married,secondary,1796,no
1494,46,admin.,married,secondary,22,no
1495,44,technician,single,secondary,244,no
1496,48,management,divorced,tertiary,1328,no
1497,50,housemaid,married,secondary,7317,no
1498,34,technician,single,secondary,4943,no
1499,38,technician,single,secondary,258,no
1500,42,management,single,tertiary,515,no
1501,32,management,single,tertiary,12607,no
1502,58,admin.,married,secondary,2,no
1503,31,management,married,tertiary,13,no
1504,19,student,single,primary,103,no
1505,41,management,married,tertiary,3872,no
1506,31,unemployed,married,secondary,296,no
1507,52,self-employed,single,primary,217,no
1508,42,self-employed,divorced,tertiary,360,no
1509,41,blue-collar,single,secondary,428,no
1510,30,blue-collar,single,secondary,315,no
1511,38,blue-collar,married,secondary,121,no
1512,32,management,married,tertiary,820,no
1513,52,technician,married,secondary,195,no
1514,48,management,divorced,tertiary,108,no
1515,36,management,married,tertiary,381,no
1516,45,unemployed,divorced,primary,757,no
1517,34,technician,married,tertiary,691,no
1518,36,blue-collar,married,primary,1925,no
1519,34,management,married,tertiary,902,no
1520,61,retired,married,secondary,5207,no
1521,54,services,married,secondary,0,no
1522,50,entrepreneur,married,secondary,665,no
1523,43,admin.,divorced,secondary,738,no
1524,47,blue-collar,married,primary,233,no
1525,45,services,married,secondary,839,no
1526,57,retired,married,primary,5799,no
1527,27,admin.,married,secondary,1033,no
1528,49,unemployed,divorced,secondary,66,no
1529,43,services,married,primary,2567,no
1530,40,management,married,tertiary,1584,no
1531,32,services,single,secondary,182,no
1532,58,management,married,primary,76,no
1533,34,admin.,single,secondary,663,no
1534,46,technician,divorced,secondary,3455,no
1535,29,blue-collar,married,secondary,15,no
1536,52,blue-collar,married,primary,1054,no
1537,45,management,married,tertiary,1529,no
1538,26,management,single,secondary,63,no
1539,40,technician,married,tertiary,0,no
1540,41,admin.,married,secondary,920,no
1541,47,admin.,single,secondary,3696,no
1542,27,technician,single,unknown,59,no
1543,27,services,married,secondary,0,no
1544,48,blue-collar,married,secondary,157,no
1545,49,admin.,married,secondary,2465,no
1546,35,blue-collar,married,primary,0,no
1547,47,self-employed,married,secondary,2,no
1548,54,management,married,tertiary,0,no
1549,39,management,single,tertiary,12437,no
1550,28,student,single,secondary,378,no
1551,54,blue-collar,married,primary,211,no
1552,34,technician,married,secondary,228,no
1553,63,retired,married,secondary,2747,no
1554,42,self-employed,married,tertiary,1932,no
1555,43,technician,single,secondary,11269,no
1556,37,admin.,married,secondary,1314,no
1557,55,blue-collar,married,primary,2275,no
1558,43,management,single,tertiary,1304,no
1559,41,blue-collar,married,secondary,720,no
1560,47,technician,divorced,secondary,2914,no
1561,34,technician,married,secondary,1464,no
1562,28,student,single,secondary,11555,no
1563,36,services,married,secondary,302,no
1564,50,technician,married,secondary,2497,no
1565,35,blue-collar,married,secondary,339,no
1566,40,technician,married,secondary,56,no
1567,26,self-employed,single,tertiary,211,no
1568,36,management,divorced,tertiary,3611,no
1569,59,unemployed,married,primary,0,no
1570,28,student,single,secondary,459,no
1571,46,entrepreneur,married,unknown,242,no
1572,50,self-employed,married,secondary,1138,no
1573,53,management,married,tertiary,1319,no
1574,81,retired,married,secondary,1,no
1575,35,services,divorced,secondary,67,no
1576,58,retired,married,unknown,937,no
1577,44,services,married,secondary,0,no
1578,38,management,married,tertiary,558,no
1579,49,blue-collar,married,secondary,171,no
1580,33,technician,single,tertiary,696,no
1581,29,management,married,tertiary,361,no
1582,28,technician,single,secondary,227,no
1583,31,admin.,married,secondary,236,no
1584,33,management,single,tertiary,53,no
1585,52,technician,married,secondary,192,no
1586,43,management,divorced,tertiary,38,no
1587,32,self-employed,single,secondary,518,no
1588,36,self-employed,married,tertiary,16,no
1589,41,blue-collar,married,secondary,256,no
1590,43,blue-collar,married,secondary,105,no
1591,45,self-employed,married,tertiary,334,no
1592,39,technician,married,secondary,1048,no
1593,41,services,married,secondary,108,no
1594,31,technician,married,secondary,660,no
1595,37,unemployed,single,tertiary,0,no
1596,28,entrepreneur,married,unknown,1034,no
1597,47,housemaid,married,primary,201,no
1598,37,housemaid,married,primary,189,no
1599,60,retired,divorced,unknown,49,no
1600,43,technician,divorced,secondary,1413,no
1601,58,retired,divorced,tertiary,264,no
1602,52,entrepreneur,married,tertiary,54,no
1603,50,blue-collar,married,primary,12519,no
1604,32,services,single,secondary,2881,no
1605,42,blue-collar,married,primary,0,no
1606,31,admin.,married,secondary,88,no
1607,28,blue-collar,married,secondary,1020,no
1608,36,technician,divorced,tertiary,119,no
1609,51,unemployed,single,tertiary,1594,no
1610,46,technician,married,tertiary,342,no
1611,50,services,single,secondary,72,no
1612,32,blue-collar,married,secondary,14,no
1613,26,entrepreneur,single,tertiary,81,no
1614,41,self-employed,married,tertiary,231,no
1615,39,technician,married,tertiary,1161,no
1616,31,blue-collar,married,secondary,45,no
1617,28,management,single,tertiary,231,no
1618,31,management,single,secondary,36,no
1619,30,technician,married,tertiary,1570,no
1620,35,technician,married,tertiary,7050,no
1621,33,blue-collar,married,primary,3704,no
1622,30,technician,single,tertiary,6619,no
1623,32,blue-collar,single,secondary,84,no
1624,40,management,single,tertiary,1509,no
1625,31,self-employed,married,tertiary,1134,no
1626,36,technician,married,secondary,146,no
1627,33,management,single,tertiary,9449,no
1628,57,retired,married,secondary,374,no
1629,45,technician,married,secondary,88,no
1630,59,management,married,tertiary,2764,no
1631,30,management,single,tertiary,2,no
1632,33,technician,married,tertiary,8023,no
1633,52,blue-collar,married,secondary,289,no
1634,83,retired,married,secondary,0,no
1635,58,self-employed,divorced,tertiary,1382,no
1636,33,management,divorced,tertiary,280,no
1637,41,blue-collar,divorced,primary,2195,no
1638,31,self-employed,married,secondary,33,no
1639,35,blue-collar,divorced,secondary,275,no
1640,27,management,single,tertiary,703,no
1641,57,admin.,divorced,unknown,887,no
1642,56,unknown,married,unknown,0,no
1643,53,admin.,single,secondary,1178,no
1644,39,management,married,tertiary,2763,no
1645,32,entrepreneur,single,tertiary,890,no
1646,46,self-employed,married,secondary,548,no
1647,56,technician,married,tertiary,272,no
1648,46,management,divorced,tertiary,6269,no
1649,29,entrepreneur,married,secondary,178,no
1650,60,management,married,primary,252,no
1651,33,housemaid,single,tertiary,23663,no
1652,27,entrepreneur,single,tertiary,81,no
1653,50,self-employed,divorced,tertiary,59,no
1654,45,services,married,secondary,1343,no
1655,58,retired,married,secondary,225,no
1656,59,retired,married,primary,0,no
1657,58,retired,divorced,primary,2538,no
1658,64,retired,married,primary,43,no
1659,47,technician,married,secondary,57,no
1660,40,management,married,tertiary,117,no
1661,36,technician,divorced,secondary,666,no
1662,28,management,single,tertiary,0,no
1663,38,technician,single,tertiary,25,no
1664,53,entrepreneur,married,primary,1034,no
1665,46,blue-collar,single,secondary,324,no
1666,54,technician,married,secondary,0,no
1667,32,management,married,tertiary,0,no
1668,55,management,married,primary,621,no
1669,55,retired,divorced,secondary,138,no
1670,56,technician,married,secondary,4063,no
1671,40,blue-collar,married,secondary,11084,no
1672,44,technician,married,secondary,310,no
1673,32,entrepreneur,married,unknown,73,no
1674,33,management,married,tertiary,1808,no
1675,41,unemployed,divorced,secondary,1281,no
1676,37,technician,married,secondary,64,no
1677,58,management,single,tertiary,2,no
1678,52,blue-collar,married,secondary,60,no
1679,49,services,single,secondary,133,no
1680,44,housemaid,married,primary,3706,no
1681,28,admin.,single,unknown,174,no
1682,31,technician,married,secondary,251,no
1683,37,self-employed,married,secondary,4153,no
1684,30,technician,single,tertiary,985,no
1685,28,services,single,secondary,168,no
1686,46,services,married,secondary,1550,no
1687,47,management,married,tertiary,7708,no
1688,35,blue-collar,married,primary,12,no
1689,80,management,married,primary,6483,no
1690,30,technician,single,tertiary,60,no
1691,55,technician,single,secondary,3339,no
1692,22,student,single,tertiary,1161,no
1693,33,blue-collar,single,primary,599,no
1694,53,entrepreneur,married,unknown,28,no
1695,49,management,married,tertiary,1430,no
1696,51,retired,married,secondary,35,no
1697,41,self-employed,married,tertiary,6000,no
1698,34,technician,married,secondary,0,no
1699,36,blue-collar,single,secondary,340,no
1700,35,entrepreneur,married,tertiary,0,no
1701,29,services,married,secondary,3,no
1702,40,technician,single,tertiary,445,no
1703,32,management,divorced,tertiary,874,no
1704,48,blue-collar,married,secondary,705,no
1705,59,retired,married,unknown,1033,no
1706,35,self-employed,divorced,tertiary,1354,no
1707,33,technician,single,tertiary,123,no
1708,55,retired,married,primary,8894,no
1709,41,blue-collar,married,secondary,429,no
1710,42,housemaid,married,primary,14752,no
1711,46,blue-collar,married,primary,67,no
1712,35,housemaid,divorced,secondary,39,no
1713,28,technician,single,tertiary,102,no
1714,25,student,single,secondary,1790,no
1715,56,management,single,tertiary,15311,no
